"Fila","Código","Nombre","Marca","Estado","Observaciones"
"15","AFE-15017","Filtro de Combustible Hino y Mitsubishi","Advance Filters","Capturado",""
"16","AFT-7864","Filtro de Aire","SHOGUN","Capturado",""
